Module,Level,Lines,Complexity,Pylint
legacy_module_1.py,Baseline,392,124,8.82
legacy_module_1.py,Instant,385,124,8.76
legacy_module_1.py,Medium,437,124,9.62
legacy_module_1.py,High,413,124,8.85
legacy_module_2.py,Baseline,434,138,8.87
legacy_module_2.py,Instant,424,138,8.81
legacy_module_2.py,Medium,485,138,9.68
legacy_module_2.py,High,458,138,8.9
legacy_module_3.py,Baseline,341,106,8.86
legacy_module_3.py,Instant,336,106,8.81
legacy_module_3.py,Medium,378,106,9.63
legacy_module_3.py,High,358,106,8.9
legacy_module_4.py,Baseline,416,131,8.92
legacy_module_4.py,Instant,406,131,8.86
legacy_module_4.py,Medium,463,131,9.7
legacy_module_4.py,High,438,131,8.95
legacy_module_5.py,Baseline,371,116,8.89
legacy_module_5.py,Instant,364,116,8.83
legacy_module_5.py,Medium,412,116,9.66
legacy_module_5.py,High,390,116,8.92
legacy_module_6.py,Baseline,414,131,8.91
legacy_module_6.py,Instant,404,131,8.85
legacy_module_6.py,Medium,461,131,9.7
legacy_module_6.py,High,436,131,8.94
legacy_module_7.py,Baseline,384,121,8.89
legacy_module_7.py,Instant,378,121,8.84
legacy_module_7.py,Medium,427,121,9.67
legacy_module_7.py,High,404,121,8.92
legacy_module_8.py,Baseline,440,140,8.92
legacy_module_8.py,Instant,430,140,8.86
legacy_module_8.py,Medium,491,140,9.72
legacy_module_8.py,High,464,140,8.95
